player_id,round,minutes,total_points,goals_scored,assists,clean_sheets,bonus,value,transfers_balance,was_home
1,1,90,6,0,0,1,0,60,0,1
1,2,90,6,0,0,1,0,60,24756,0
1,3,90,3,0,0,0,0,60,-23780,1
1,4,90,14,0,0,1,3,60,34449,0
1,5,90,1,0,0,0,0,60,212570,0
2,1,0,0,0,0,0,0,50,0,1
2,2,0,0,0,0,0,0,50,-1067,0
2,3,0,0,0,0,0,0,50,-615,1
2,4,0,0,0,0,0,0,49,-576,0
2,5,0,0,0,0,0,0,49,-378,0
3,1,0,0,0,0,0,0,50,0,1
3,2,0,0,0,0,0,0,50,-391,0
3,3,0,0,0,0,0,0,50,-287,1
3,4,0,0,0,0,0,0,49,-200,0
3,5,0,0,0,0,0,0,49,-115,0
4,1,90,5,0,0,1,0,80,0,1
4,2,90,8,0,0,1,0,80,-65343,0
4,3,90,2,0,0,0,0,80,-298759,1
4,4,90,9,0,0,1,2,80,-197767,0
4,5,90,1,0,0,0,0,80,-70779,0
5,1,0,0,0,0,0,0,65,0,1
5,2,0,0,0,0,0,0,65,-2703,0
5,3,0,0,0,0,0,0,65,-1892,1
5,4,45,1,0,0,0,0,65,-772,0
5,5,59,0,0,0,0,0,65,16270,0
6,1,0,0,0,0,0,0,60,0,1
6,2,0,0,0,0,0,0,60,-5970,0
6,3,0,0,0,0,0,0,60,-4380,1
6,4,0,0,0,0,0,0,59,-2516,0
6,5,0,0,0,0,0,0,59,-1605,0
7,1,90,3,0,0,1,0,55,0,1
7,2,70,3,0,0,1,0,55,642,0
7,3,66,2,0,0,0,0,55,-4641,1
7,4,45,1,0,0,0,0,55,-4212,0
7,5,0,0,0,0,0,0,55,-7916,0
8,1,80,9,0,1,1,0,55,0,1
8,2,90,11,0,1,1,2,56,268472,0
8,3,66,2,0,0,0,0,57,396923,1
8,4,90,6,0,0,1,0,58,392809,0
8,5,90,1,0,0,0,0,58,183297,0
9,1,9,1,0,0,0,0,55,0,1
9,2,0,0,0,0,0,0,54,-37136,0
9,3,23,1,0,0,0,0,54,-31216,1
9,4,0,0,0,0,0,0,53,-15451,0
9,5,0,0,0,0,0,0,53,-13089,0
10,1,90,11,0,1,1,2,55,0,1
10,2,90,7,0,0,1,1,55,119886,0
10,3,90,2,0,0,0,0,55,45919,1
10,4,45,1,0,0,0,0,55,6399,0
10,5,0,0,0,0,0,0,55,-218227,0
11,1,90,6,0,0,1,0,55,0,1
11,2,78,6,0,0,1,0,55,-30539,0
11,3,0,0,0,0,0,0,55,-114822,1
11,4,0,0,0,0,0,0,54,-201802,0
11,5,0,0,0,0,0,0,53,-81401,0
12,1,67,9,1,0,1,1,95,0,1
12,2,90,11,1,0,1,3,95,53683,0
12,3,89,2,0,0,0,0,95,55091,1
12,4,90,8,1,0,1,0,95,64680,0
12,5,80,2,0,0,0,0,95,156317,0
13,1,67,3,0,0,1,0,75,0,1
13,2,84,5,0,0,1,0,75,-122235,0
13,3,90,5,0,1,0,0,75,-227106,1
13,4,80,6,0,1,1,0,74,-126667,0
13,5,90,1,0,0,0,0,74,-54820,0
14,1,14,1,0,0,0,0,65,0,1
14,2,45,1,0,0,0,0,65,-38776,0
14,3,0,0,0,0,0,0,64,-32301,1
14,4,9,1,0,0,0,0,63,-25833,0
14,5,17,1,0,0,0,0,63,-15015,0
15,1,75,11,1,0,1,3,65,0,1
15,2,70,3,0,0,1,0,66,252699,0
15,3,76,10,1,0,0,3,66,-52949,1
15,4,84,3,0,0,1,0,67,702273,0
15,5,72,2,0,0,0,0,68,194248,0
16,1,22,1,0,0,0,0,65,0,1
16,2,0,0,0,0,0,0,64,-6819,0
16,3,1,1,0,0,0,0,63,-6797,1
16,4,0,0,0,0,0,0,63,-3081,0
16,5,0,0,0,0,0,0,62,-2443,0
17,1,14,1,0,0,0,0,60,0,1
17,2,19,1,0,0,0,0,60,-12835,0
17,3,13,0,0,0,0,0,59,-10808,1
17,4,5,1,0,0,0,0,58,-7941,0
17,5,30,1,0,0,0,0,58,-4969,0
18,1,0,0,0,0,0,0,65,0,1
18,2,0,0,0,0,0,0,64,-5718,0
18,3,0,0,0,0,0,0,63,-5441,1
18,4,0,0,0,0,0,0,63,-6160,0
18,5,0,0,0,0,0,0,63,-1499,0
19,1,22,1,0,0,0,0,55,0,1
19,2,5,1,0,0,0,0,55,-19013,0
19,3,23,1,0,0,0,0,54,-16532,1
19,4,9,1,0,0,0,0,54,-11465,0
19,5,30,1,0,0,0,0,53,-7918,0
20,1,0,0,0,0,0,0,55,0,1
20,2,0,0,0,0,0,0,54,-1857,0
20,3,0,0,0,0,0,0,54,-1389,1
20,4,0,0,0,0,0,0,53,-713,0
20,5,9,1,0,0,0,0,53,-172,0
22,1,0,0,0,0,0,0,55,0,1
22,2,0,0,0,0,0,0,55,-248,0
22,3,0,0,0,0,0,0,54,-270,1
22,4,0,0,0,0,0,0,54,-333,0
22,5,0,0,0,0,0,0,54,-116,0
23,1,0,0,0,0,0,0,55,0,1
23,2,0,0,0,0,0,0,55,-135,0
23,3,0,0,0,0,0,0,55,-136,1
23,4,0,0,0,0,0,0,55,-265,0
23,5,0,0,0,0,0,0,55,-88,0
24,1,0,0,0,0,0,0,55,0,1
24,2,0,0,0,0,0,0,55,-108,0
24,3,0,0,0,0,0,0,55,-299,1
24,4,0,0,0,0,0,0,55,-113,0
24,5,0,0,0,0,0,0,55,-66,0
25,1,0,0,0,0,0,0,75,0,1
25,2,0,0,0,0,0,0,74,-229353,0
25,3,12,1,0,0,0,0,73,-192830,1
25,4,0,0,0,0,0,0,72,-92048,0
25,5,17,1,0,0,0,0,72,-51870,0
26,1,90,6,1,0,1,0,75,0,1
26,2,90,2,0,0,1,0,75,148783,0
26,3,77,8,1,0,0,2,75,-68870,1
26,4,90,1,0,0,1,0,75,118477,0
26,5,90,2,0,0,0,0,76,44371,0
27,1,0,0,0,0,0,0,60,0,1
27,2,0,0,0,0,0,0,60,-5264,0
27,3,0,0,0,0,0,0,59,-8859,1
27,4,0,0,0,0,0,0,59,-7696,0
27,5,0,0,0,0,0,0,59,-2292,0
31,1,0,0,0,0,0,0,45,0,1
31,2,11,1,0,0,0,0,45,-179766,0
31,3,90,4,0,0,0,0,44,71726,1
31,4,90,6,0,0,1,0,45,612675,0
31,5,90,1,0,0,0,0,45,277564,0
452,1,0,0,0,0,0,0,70,0,1
452,2,19,1,0,0,0,0,69,-125705,0
452,3,0,0,0,0,0,0,68,-57236,1
452,4,45,7,1,0,0,1,68,-35502,0
452,5,59,1,0,0,0,0,67,6316,0
557,1,75,6,0,1,1,0,65,0,1
557,2,45,0,0,0,0,0,65,180987,0
557,3,90,5,0,1,0,1,65,-601940,1
557,4,80,3,0,0,1,0,64,-328555,0
557,5,72,2,0,0,0,0,64,-263333,0
29,1,90,1,0,0,0,0,45,0,0
29,2,0,0,0,0,0,0,45,-36,1
29,3,0,0,0,0,0,0,45,-69,0
29,4,0,0,0,0,0,0,45,-601,1
29,5,0,0,0,0,0,0,45,-1076,0
30,1,0,0,0,0,0,0,45,0,0
30,2,0,0,0,0,0,0,45,-4977,1
30,3,0,0,0,0,0,0,45,-2071,0
30,4,0,0,0,0,0,0,45,-932,1
30,5,0,0,0,0,0,0,45,-431,0
32,1,90,-1,0,0,0,0,45,0,0
32,2,77,2,0,0,0,0,45,-79349,1
32,3,84,6,0,0,1,0,45,-35679,0
32,4,0,0,0,0,0,0,45,-80882,1
32,5,45,-1,0,0,0,0,44,-105428,0
33,1,16,1,0,0,0,0,45,0,0
33,2,0,0,0,0,0,0,45,-254,1
33,3,90,6,0,0,1,0,45,-2214,0
33,4,65,0,0,0,0,0,45,2788,1
33,5,90,3,0,0,0,0,45,-1624,0
34,1,73,0,0,0,0,0,45,0,0
34,2,90,2,0,0,0,0,45,-3229,1
34,3,0,0,0,0,0,0,45,919,0
34,4,24,1,0,0,0,0,45,-1717,1
34,5,0,0,0,0,0,0,45,-9138,0
35,1,16,1,0,0,0,0,50,0,0
35,2,0,0,0,0,0,0,50,-349,1
35,3,0,0,0,0,0,0,50,-311,0
35,4,0,0,0,0,0,0,50,-440,1
35,5,0,0,0,0,0,0,50,-487,0
36,1,81,0,0,0,0,0,45,0,0
36,2,90,1,0,0,0,0,45,-6312,1
36,3,74,7,0,0,1,1,45,2667,0
36,4,90,1,0,0,0,0,45,10444,1
36,5,0,0,0,0,0,0,45,-30695,0
37,1,90,-2,0,0,0,0,45,0,0
37,2,90,2,0,0,0,0,45,-2236,1
37,3,90,6,0,0,1,0,45,216,0
37,4,90,1,0,0,0,0,45,3012,1
37,5,90,1,0,0,0,0,45,-415,0
38,1,0,0,0,0,0,0,40,0,0
38,2,0,0,0,0,0,0,40,-6584,1
38,3,0,0,0,0,0,0,40,-506,0
38,4,0,0,0,0,0,0,40,-4343,1
38,5,0,0,0,0,0,0,40,-7021,0
39,1,0,0,0,0,0,0,40,0,0
39,2,0,0,0,0,0,0,40,-7238,1
39,3,0,0,0,0,0,0,40,-3988,0
39,4,0,0,0,0,0,0,40,-2186,1
39,5,0,0,0,0,0,0,40,-1273,0
41,1,85,2,0,0,0,0,60,0,0
41,2,90,2,0,0,0,0,60,-16866,1
41,3,74,3,0,0,1,0,60,-3519,0
41,4,62,2,0,0,0,0,59,-5900,1
41,5,90,12,1,0,0,3,59,-16876,0
44,1,0,0,0,0,0,0,55,0,0
44,2,0,0,0,0,0,0,55,-1655,1
44,3,0,0,0,0,0,0,54,-2630,0
44,4,0,0,0,0,0,0,54,-4702,1
44,5,0,0,0,0,0,0,54,-1648,0
45,1,81,1,0,0,0,0,55,0,0
45,2,90,1,0,0,0,0,55,-37047,1
45,3,90,3,0,0,1,0,54,-27591,0
45,4,90,6,0,1,0,1,54,-12721,1
45,5,83,6,0,1,1,0,54,-5772,0
46,1,73,2,0,0,0,0,50,0,0
46,2,77,2,0,0,0,0,50,-841,1
46,3,90,3,0,0,1,0,50,1735,0
46,4,62,2,0,0,0,0,50,1496,1
46,5,6,1,0,0,0,0,50,-1310,0
47,1,90,2,0,0,0,0,50,0,0
47,2,90,2,0,0,0,0,50,-2250,1
47,3,90,3,0,0,1,0,50,-720,0
47,4,90,2,0,0,0,0,50,-1023,1
47,5,83,6,0,1,1,0,50,-2746,0
48,1,0,0,0,0,0,0,50,0,0
48,2,0,0,0,0,0,0,50,-372,1
48,3,0,0,0,0,0,0,50,-430,0
48,4,0,0,0,0,0,0,50,-160,1
48,5,0,0,0,0,0,0,49,-137,0
49,1,0,0,0,0,0,0,50,0,0
49,2,0,0,0,0,0,0,50,-120,1
49,3,0,0,0,0,0,0,50,-63,0
49,4,0,0,0,0,0,0,50,-22,1
49,5,0,0,0,0,0,0,50,-20,0
50,1,0,0,0,0,0,0,45,0,0
50,2,0,0,0,0,0,0,45,-3255,1
50,3,0,0,0,0,0,0,45,-408,0
50,4,0,0,0,0,0,0,45,-1967,1
50,5,0,0,0,0,0,0,45,-5269,0
51,1,90,2,0,0,0,0,45,0,0
51,2,70,2,0,0,0,0,45,3259,1
51,3,74,3,0,0,1,0,45,21970,0
51,4,45,1,0,0,0,0,45,30719,1
51,5,18,1,0,0,0,0,45,-3198,0
52,1,8,1,0,0,0,0,50,0,0
52,2,19,0,0,0,0,0,50,-253,1
52,3,15,1,0,0,0,0,50,-102,0
52,4,45,6,1,0,0,0,50,-205,1
52,5,0,0,0,0,0,0,50,983,0
53,1,0,0,0,0,0,0,60,0,0
53,2,0,0,0,0,0,0,60,-8558,1
53,3,0,0,0,0,0,0,59,-4708,0
53,4,27,1,0,0,0,0,59,-1220,1
53,5,71,13,1,1,1,2,59,853,0
54,1,39,-2,0,0,0,0,55,0,0
54,2,0,0,0,0,0,0,55,-1729,1
54,3,0,0,0,0,0,0,55,-1095,0
54,4,0,0,0,0,0,0,55,-383,1
54,5,90,4,0,0,0,0,55,137,0
55,1,0,0,0,0,0,0,80,0,0
55,2,0,0,0,0,0,0,79,-265828,1
55,3,0,0,0,0,0,0,78,-305129,0
55,4,0,0,0,0,0,0,78,-126292,1
55,5,0,0,0,0,0,0,78,-35250,0
56,1,0,0,0,0,0,0,55,0,0
56,2,19,1,0,0,0,0,55,-2086,1
56,3,5,1,0,0,0,0,55,2174,0
56,4,45,1,0,0,0,0,55,1369,1
56,5,2,1,0,0,0,0,55,1415,0
160,1,4,1,0,0,0,0,60,0,0
160,2,12,1,0,0,0,0,60,-8554,1
160,3,15,1,0,0,0,0,59,-9524,0
160,4,0,0,0,0,0,0,59,-7225,1
160,5,0,0,0,0,0,0,58,-6202,0
166,1,0,0,0,0,0,0,65,0,0
166,2,70,2,0,0,0,0,65,-2878,1
166,3,84,2,0,0,1,0,65,37834,0
166,4,45,0,0,0,0,0,65,28857,1
166,5,87,6,1,0,0,1,65,-17305,0
582,1,0,0,0,0,0,0,55,0,0
582,2,0,0,0,0,0,0,55,-7757,1
582,3,0,0,0,0,0,0,55,-8463,0
582,4,0,0,0,0,0,0,55,-5489,1
582,5,0,0,0,0,0,0,54,-4377,0
596,1,8,1,0,0,0,0,45,0,0
596,2,0,0,0,0,0,0,45,-243,1
596,3,15,1,0,0,0,0,45,-990,0
596,4,0,0,0,0,0,0,45,-993,1
596,5,90,3,0,0,0,0,45,-395,0
597,1,0,0,0,0,0,0,50,0,0
597,2,90,2,0,0,0,0,50,-2542,1
597,3,90,10,0,0,1,3,50,21820,0
